Epoch:[1/6](19300/44160) loss:0.808 lr:0.000543482700 epoch_Time:134.0min:
Epoch:[1/6](19400/44160) loss:0.795 lr:0.000543415287 epoch_Time:134.0min:
Epoch:[1/6](19500/44160) loss:0.805 lr:0.000543347532 epoch_Time:133.0min:
Epoch:[1/6](19600/44160) loss:0.814 lr:0.000543279435 epoch_Time:133.0min:
Epoch:[1/6](19700/44160) loss:0.813 lr:0.000543210995 epoch_Time:132.0min:
Epoch:[1/6](19800/44160) loss:0.799 lr:0.000543142214 epoch_Time:132.0min:
Epoch:[1/6](19900/44160) loss:0.801 lr:0.000543073091 epoch_Time:131.0min:
Epoch:[1/6](20000/44160) loss:0.867 lr:0.000543003626 epoch_Time:131.0min:
Epoch:[1/6](20100/44160) loss:0.822 lr:0.000542933820 epoch_Time:130.0min:
Epoch:[1/6](20200/44160) loss:0.830 lr:0.000542863672 epoch_Time:130.0min:
Epoch:[1/6](20300/44160) loss:0.820 lr:0.000542793183 epoch_Time:129.0min:
Epoch:[1/6](20400/44160) loss:0.804 lr:0.000542722352 epoch_Time:128.0min:
Epoch:[1/6](20500/44160) loss:0.816 lr:0.000542651180 epoch_Time:128.0min:
Epoch:[1/6](20600/44160) loss:0.798 lr:0.000542579667 epoch_Time:127.0min:
Epoch:[1/6](20700/44160) loss:0.824 lr:0.000542507813 epoch_Time:127.0min:
Epoch:[1/6](20800/44160) loss:0.851 lr:0.000542435618 epoch_Time:126.0min:
Epoch:[1/6](20900/44160) loss:0.832 lr:0.000542363083 epoch_Time:126.0min:
Epoch:[1/6](21000/44160) loss:0.822 lr:0.000542290206 epoch_Time:125.0min:
Epoch:[1/6](21100/44160) loss:0.827 lr:0.000542216989 epoch_Time:125.0min:
Epoch:[1/6](21200/44160) loss:0.803 lr:0.000542143431 epoch_Time:124.0min:
Epoch:[1/6](21300/44160) loss:0.834 lr:0.000542069533 epoch_Time:124.0min:
Epoch:[1/6](21400/44160) loss:0.809 lr:0.000541995295 epoch_Time:123.0min:
Epoch:[1/6](21500/44160) loss:0.810 lr:0.000541920716 epoch_Time:123.0min:
Epoch:[1/6](21600/44160) loss:0.804 lr:0.000541845797 epoch_Time:122.0min:
Epoch:[1/6](21700/44160) loss:0.814 lr:0.000541770539 epoch_Time:121.0min:
Epoch:[1/6](21800/44160) loss:0.799 lr:0.000541694940 epoch_Time:121.0min:
Epoch:[1/6](21900/44160) loss:0.803 lr:0.000541619002 epoch_Time:120.0min:
Epoch:[1/6](22000/44160) loss:0.800 lr:0.000541542724 epoch_Time:120.0min:
Epoch:[1/6](22100/44160) loss:0.803 lr:0.000541466106 epoch_Time:119.0min:
Epoch:[1/6](22200/44160) loss:0.830 lr:0.000541389149 epoch_Time:119.0min:
Epoch:[1/6](22300/44160) loss:0.804 lr:0.000541311852 epoch_Time:118.0min:
Epoch:[1/6](22400/44160) loss:0.804 lr:0.000541234217 epoch_Time:118.0min:
Epoch:[1/6](22500/44160) loss:0.805 lr:0.000541156242 epoch_Time:116.0min:
Epoch:[1/6](22600/44160) loss:0.803 lr:0.000541077928 epoch_Time:116.0min:
Epoch:[1/6](22700/44160) loss:0.809 lr:0.000540999275 epoch_Time:116.0min:
Epoch:[1/6](22800/44160) loss:0.809 lr:0.000540920283 epoch_Time:115.0min:
Epoch:[1/6](22900/44160) loss:0.808 lr:0.000540840953 epoch_Time:114.0min:
Epoch:[1/6](23000/44160) loss:0.806 lr:0.000540761284 epoch_Time:114.0min:
Epoch:[1/6](23100/44160) loss:0.796 lr:0.000540681277 epoch_Time:113.0min:
Epoch:[1/6](23200/44160) loss:0.792 lr:0.000540600931 epoch_Time:113.0min:
Epoch:[1/6](23300/44160) loss:0.801 lr:0.000540520247 epoch_Time:112.0min:
Epoch:[1/6](23400/44160) loss:0.791 lr:0.000540439225 epoch_Time:111.0min:
Epoch:[1/6](23500/44160) loss:0.794 lr:0.000540357865 epoch_Time:111.0min:
Epoch:[1/6](23600/44160) loss:0.792 lr:0.000540276167 epoch_Time:110.0min:
Epoch:[1/6](23700/44160) loss:0.810 lr:0.000540194131 epoch_Time:110.0min:
Epoch:[1/6](23800/44160) loss:0.805 lr:0.000540111757 epoch_Time:109.0min:
Epoch:[1/6](23900/44160) loss:0.837 lr:0.000540029046 epoch_Time:109.0min:
Epoch:[1/6](24000/44160) loss:0.821 lr:0.000539945998 epoch_Time:108.0min:
Epoch:[1/6](24100/44160) loss:0.821 lr:0.000539862612 epoch_Time:108.0min:
Epoch:[1/6](24200/44160) loss:0.836 lr:0.000539778889 epoch_Time:107.0min:
Epoch:[1/6](24300/44160) loss:0.840 lr:0.000539694829 epoch_Time:107.0min:
Epoch:[1/6](24400/44160) loss:0.816 lr:0.000539610432 epoch_Time:106.0min:
Epoch:[1/6](24500/44160) loss:0.803 lr:0.000539525698 epoch_Time:106.0min:
Epoch:[1/6](24600/44160) loss:0.807 lr:0.000539440627 epoch_Time:105.0min:
Epoch:[1/6](24700/44160) loss:0.802 lr:0.000539355220 epoch_Time:105.0min:
Epoch:[1/6](24800/44160) loss:0.803 lr:0.000539269476 epoch_Time:104.0min:
Epoch:[1/6](24900/44160) loss:0.797 lr:0.000539183395 epoch_Time:104.0min:
Epoch:[1/6](25000/44160) loss:0.804 lr:0.000539096979 epoch_Time:103.0min:
Epoch:[1/6](25100/44160) loss:0.804 lr:0.000539010226 epoch_Time:103.0min:
Epoch:[1/6](25200/44160) loss:0.800 lr:0.000538923138 epoch_Time:102.0min:
Epoch:[1/6](25300/44160) loss:0.808 lr:0.000538835713 epoch_Time:102.0min:
Epoch:[1/6](25400/44160) loss:0.803 lr:0.000538747953 epoch_Time:101.0min:
Epoch:[1/6](25500/44160) loss:0.799 lr:0.000538659857 epoch_Time:100.0min:
Epoch:[1/6](25600/44160) loss:0.799 lr:0.000538571426 epoch_Time:100.0min:
Epoch:[1/6](25700/44160) loss:0.798 lr:0.000538482659 epoch_Time:99.0min:
